Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0       2321401  [avrora.c-print] 11      emit | [I32.ADD]
   0       2324883  [avrora.c-print] 11      emit | pop32 to R22.
   0       2328604  [avrora.c-print] 11      emit | pop32 to R18.
   0       2333601  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       2336575  [avrora.c-print] 11      emit | push32
   0       2342465  [avrora.c-print] 11      emit | push/pop optimized
   0       2347892  [avrora.c-print] 11      emit | push/pop optimized
   0       2352852  [avrora.c-print] 11      emit | push/pop optimized
   0       2357639  [avrora.c-print] 11      emit | push/pop optimized
   0       2361823  [avrora.c-print] 11      emit | s: 1
   0       2366056  [avrora.c-print] 11      emit | [LOCAL.SET 9]
   0       2369770  [avrora.c-print] 11      emit | pop32 to R22...
   0       2375362  [avrora.c-print] 11      emit | Store R22... to local[16]
   0       2378495  [avrora.c-print] 11      emit | s: 0
   0       2382734  [avrora.c-print] 11      emit | [LOCAL.GET 6]
   0       2387499  [avrora.c-print] 11      emit | Ld R22. from local[4]
   0       2390543  [avrora.c-print] 11      emit | push32
